Qubit,T1 (us),T2 (us),Readout assignment error,Prob meas0 prep1,Prob meas1 prep0,Readout length (ns),ID error,Single-qubit gate length (ns),RX error,Z-axis rotation (rz) error,√x (sx) error,Pauli-X error,Gate length (ns),CZ error,RZZ error,MEASURE error,Operational
89,128.6105291,82.50489882,0.015625,0.017089844,0.014160156,1560,0.000159743,24,0.000159743,0,0.000159743,0.000159743,90:68;88:68;78:68,90:0.0034574227109393507;88:0.0033130995678863073;78:0.0030547283120454793,90:0.0030106017923069717;88:0.003124511981010686;78:0.0023802806333464988,0.015625,Yes
90,104.2375387,108.8474468,0.005493164,0.007080078,0.00390625,1560,0.000326968,24,0.000326968,0,0.000326968,0.000326968,89:68;91:68,89:0.0034574227109393507;91:0.0040277202758493,89:0.0030106017923069717;91:0.0032804849104698663,0.005493164,Yes
91,148.9309653,20.12487628,0.022094727,0.027832031,0.016357422,1560,0.000343708,24,0.000343708,0,0.000343708,0.000343708,98:68;90:68;92:68,98:0.002298885788589694;90:0.0040277202758493;92:0.002652748350099793,98:0.001979122219600782;90:0.0032804849104698663;92:0.00257888390605282,0.022094727,Yes
92,84.46263522,136.035544,0.007446289,0.012207031,0.002685547,1560,0.00031663,24,0.00031663,0,0.00031663,0.00031663,91:68;93:68,91:0.002652748350099793;93:0.0021770075348067353,91:0.00257888390605282;93:0.0022798201441775467,0.007446289,Yes
93,177.3231325,163.0834699,0.024658203,0.031738281,0.017578125,1560,0.000269588,24,0.000269588,0,0.000269588,0.000269588,94:68;79:68;92:68,94:0.003059052175203747;79:0.005397331497411256;92:0.0021770075348067353,94:0.003021075647780813;79:0.003945767647181103;92:0.0022798201441775467,0.024658203,Yes
94,109.9156367,45.99034625,0.009887695,0.007080078,0.012695313,1560,0.000309011,24,0.000309011,0,0.000309011,0.000309011,93:68;95:68,93:0.003059052175203747;95:0.002415425466467891,93:0.003021075647780813;95:0.002361239199946047,0.009887695,Yes
95,146.4332989,168.5816499,0.005615234,0.016601563,0.003417969,1560,0.000157604,24,0.000157604,0,0.000157604,0.000157604,99:68;94:68,99:0.002423978037104507;94:0.002415425466467891,34:00.0,0.005615234,Yes
96,90.91352945,105.9495308,0.003662109,0.005615234,0.001708984,1560,0.000252659,24,0.000252659,0,0.000252659,0.000252659,83:68;103:68,83:0.002229054276869813;103:0.002885043906654894,83:0.002155389762533544;103:0.002275081258541145,0.003662109,Yes
97,80.00449822,113.3877877,0.005493164,0.007324219,0.003662109,1560,0.000571184,24,0.000571184,0,0.000571184,0.000571184,87:68;107:68,87:0.002886973905675494;107:0.0019187286911348245,87:0.0026100533507181223;107:0.0020538742231268337,0.005493164,Yes
98,153.431017,18.73251778,0.008666992,0.010009766,0.007324219,1560,0.000241026,24,0.000241026,0,0.000241026,0.000241026,91:68;111:68,91:0.002298885788589694;111:0.0029454482220419576,91:0.001979122219600782;111:0.0026695617535955896,0.008666992,Yes
99,74.24540547,29.88761163,0.01171875,0.009033203,0.014404297,1560,0.000297708,24,0.000297708,0,0.000297708,0.000297708,115:68;95:68,115:0.0025573742022895196;95:0.002423978037104507,,0.01171875,Yes
100,120.6543555,31.79167772,0.01184082,0.020507813,0.003173828,1560,0.000580539,24,0.000580539,0,0.000580539,0.000580539,101:68,41:00.0,41:00.0,0.01184082,Yes
